time,pm10standard,pm25standard,pm100standard,pm10env,pm25env,pm100 env,p03um,p05um,p10um,p25um,p50um,p100um
Wed Feb 11 15:35:28 2026,0,1,1,0,1,1,237,59,4,1,0,0
Wed Feb 11 15:35:29 2026,0,1,1,0,1,1,237,59,4,1,0,0
Wed Feb 11 15:35:30 2026,0,1,1,0,1,1,237,59,4,1,0,0
Wed Feb 11 15:35:31 2026,0,1,1,0,1,1,249,62,5,1,0,0
Wed Feb 11 15:35:32 2026,0,1,1,0,1,1,249,62,5,1,0,0
Wed Feb 11 15:35:33 2026,0,1,1,0,1,1,249,62,5,1,0,0
Wed Feb 11 15:35:34 2026,0,1,1,0,1,1,249,61,7,1,0,0
Wed Feb 11 15:35:35 2026,0,1,1,0,1,1,249,61,7,1,0,0
Wed Feb 11 15:35:36 2026,0,1,1,0,1,1,249,61,7,1,0,0
Wed Feb 11 15:35:37 2026,0,1,1,0,1,1,234,58,7,1,0,0
Wed Feb 11 15:35:38 2026,0,1,1,0,1,1,234,58,7,1,0,0
Wed Feb 11 15:35:39 2026,0,1,1,0,1,1,234,58,7,1,0,0
Wed Feb 11 15:35:40 2026,0,1,1,0,1,1,243,61,7,1,0,0
Wed Feb 11 15:35:41 2026,0,1,1,0,1,1,243,61,7,1,0,0
Wed Feb 11 15:35:42 2026,0,1,1,0,1,1,243,61,7,1,0,0
Wed Feb 11 15:35:43 2026,0,1,1,0,1,1,252,61,8,1,0,0
Wed Feb 11 15:35:44 2026,0,1,1,0,1,1,252,61,8,1,0,0
Wed Feb 11 15:35:45 2026,0,1,1,0,1,1,252,61,8,1,0,0
Wed Feb 11 15:35:46 2026,0,1,1,0,1,1,276,64,9,1,0,0
Wed Feb 11 15:35:47 2026,0,1,1,0,1,1,276,64,9,1,0,0
Wed Feb 11 15:35:48 2026,0,1,1,0,1,1,276,64,9,1,0,0
Wed Feb 11 15:35:49 2026,0,1,1,0,1,1,261,61,9,2,0,0
Wed Feb 11 15:35:50 2026,0,1,1,0,1,1,261,61,9,2,0,0
Wed Feb 11 15:35:51 2026,0,1,1,0,1,1,261,61,9,2,0,0
Wed Feb 11 15:35:52 2026,0,1,1,0,1,1,255,58,8,1,0,0
Wed Feb 11 15:35:53 2026,0,1,1,0,1,1,255,58,8,1,0,0
Wed Feb 11 15:35:54 2026,0,1,1,0,1,1,255,58,8,1,0,0
Wed Feb 11 15:35:55 2026,0,1,1,0,1,1,252,58,9,1,0,0
Wed Feb 11 15:35:56 2026,0,1,1,0,1,1,252,58,9,1,0,0
Wed Feb 11 15:35:57 2026,0,1,1,0,1,1,252,58,9,1,0,0
